text,label
만약 각각 결측치가 하나씩 있는 경우를 제외하고 Ozone  열에도 SolarR  열에도 결 측 차있는 행을 제거하는 경우는 어떻게 하나요결측치가 하나씩 있는 경우를 제외하고결측치가 중복된 열을 제거하는 방법이 궁금합니다,코드2
윈도 프롬프트에서 작업 중 cd Downloads 이후 퍼블릭 DNS를 연결하면 ec2userec25219970137apnortheast1computeamazonawscom Permission denied publickeygssapikeyexgssapiwithmic 이런 결과가 도출됩니다 ,웹
한 달에 한 번 지원금 들어오기로 했는데 국민 내일 배움 카드로 입금은 언제 되나요,시스템 운영
궁금한 사항은 다음과 같습니다 1 data에 있는 연속형 변수 AB가 존재한다고 할 때 dataABcorr의 값으로 A와 B 변수의 상관계수를 구했습니다 2 그런데 동일한 A 값에 대하여 B의 값이 많아 데이터를 평균 값 하나로 대치한다고 하면즉 df  datagroupbybyAasindexFalseBmean으로 집계하였습니다 3 그러면 dfABcorr인 상관계수가 A와 B의 상관계수라 말할 수 있는 건가요 이때 동일한 A에 관하여 무수히 많은 B의 값들의 분포는 모두 정규분포가 성립한다고 가정했을 때로 보고 싶습니다,코드2
아제가 질문을 잘못 드려서 혼란이 있으셨을 듯합니다 죄송합니다 원 질문은  i 2  와  i2가 같은 이유가 궁금했습니다 다시 한번 설명 부탁드립니다 감사합니다,코드1
modelpredict에서 float object cannot be interpreted as an integer 해당 에러가 나옵니다 float 타입을 int로 변경 안된다는 에러 같은데 predict에서 해당 에러가 나오는 이유를 모르겠습니다 위 테스트 데이터 전처리 과정은 Found 1220 images belonging to 1 classes 메시지 출력되면서 이상 없이 동작하였습니다,코드2
제가 All Failed를 말씀드린 건 실행에는 아무 문제가 없기 때문입니다 실행하면 답도 나오는데 문제가 무엇인지 파악이 되질 않아서 범위를 제가 놓친 건 아닐지 의구심을 가지고 질문을 드렸었습니다 출력에 문제가 없는 경우엔 Fail 이유를 어떻게 찾아야 할까요,코드1
xtrain  scalerfittransformxtrain xval  scalertransformxval에서 각각 fit과 transform이 하는 기능에 대해 아직 잘 모르겠습니다,코드2
trainxtrainy traintestsplitdftotaltestsize02randomstate20testxtesty  traintestsplitdftesttestsize02randomstate20해당 방식으로 분할 후 modelfit을 하니 Found input variables with inconsistent numbers of samples 34809 8703가 발생하는 데 분할을 다르게 진행을 해야 하는 것인가요 trainxy의 열값을 합치면 dftotal 열값이 정상적으로 나옵니다,코드2
아니면 혹시 인스턴스가 종료되었는데 삭제하기가 보이지가 않아서 새로운 인스턴스를 만들어서 시도해도 될까요,웹
안녕하세요 실습 1 제출합니다 피드백 부탁드립니다 추가로 저는 노인복지 관련 문제를 정의하였는데 특정 기업에 대해 분석해야 하는 걸지 문의드립니다 감사합니다,이론
두 번째로 주신 OneDrive에 window10ova 파일이 아직 업로드되지 않은 것 같습니다,웹
아이피 중에 1313122와 1313232가 없는데 어떤 것을 연결하는 건가요 R1은 1313101R2는 1313201R3은 1313301인데 위의 아이피 주소는 뭔지를 모르겠어요,이론
모델 학습 시 아래와 같은 error 메시지가 나와서 어떻게 해결해야 할지 문의드립니다 Node sequentialconv2dConv2DNo algorithm worked  Error messages	 node sequentialconv2dConv2D Opinferencetestfunction1952,코드2
google sheet의 제  master IP를 찾아 복사한 뒤 인스턴스 목록에서 해당 IP를 검색해 나오는 인스턴스를 선택해 인스턴스 시작을 누르고 이름에 a024152Master 작성하고 다른 건 건드리지 않고 시작하면 되는 건가요 같은 방식으로 워커 1 워커 2 시작도 하나요 manage ec2 instance 눌러서 넘어간 화면에서 선택되어 있는 인스턴스는 다른 인스턴스던데 어떤 인스턴스를 선택해야 되는 건지도 그 앞 단계에서 놓쳐서 연달아 놓쳤습니다,웹
라우팅 테이블 설정에서 프라이빗 서브넷이 퍼블릭 라우팅 테이블로 설정을 하였습니다 이것을 수정할 수 있나요,웹
backbone은 기본 골자이고 head는 backbone을 바탕으로 목적에 맞게 변형하는 것이라고 이해했습니다 그렇다면 feature map을 만드는 부분이 backbone인가요 그렇다면 강사님의 그림상에서 conv layer 이후 flatten 된 부분은 위치 정보가 보존되어 있지 않고 오직 분류의 용도라고 하셨는데요 이 부분이 head인가요 그게 아니라면 featuremap을 만드는 과정 자체가 backbone과 head로 나뉜 건가요,이론
,코드1
강사님이 주신 참조 자료 보면서 만들고 있습니다 httpsfindworkdevblogaddingchartstodjangoadmin 아래 강사님이 만든 거처럼 표를 생성하고 싶어서 위 자료의 코드를 참조해서 작성했는데 에러가 납니다 djangocontribadminsitesAlreadyRegistered The model AiModel is already registered in app signlanguage 위와 같이 에러 문구가 뜹니다,웹
안녕하세요 선형회귀 로지스틱 회귀의 Sequential Functional API 가 각각 어떨 때 사용되는지 어떤 식으로 사용을 판단해야 되는지가 궁금합니다 아니면 머신러닝처럼 전체적으로 모든 모델에 적용시킨 후 가장 정확도가 높은 방식으로 채택하는 건가요 또한 irisipynb에서 설명 주셨던 ypredargmaxaxis1 와 round를 같이 설명 주셨던 거 같은데 argmax 의미가 헷갈립니다,코드2
mybin  npinf 10000 25000 50000 100000 300000 npinfmylabel  F FA FAM FAMI FAMIL FAMILYcstLevel  pdcutcstAmt bins  mybin labels  mylabelcsthead 이렇게 작성하였을 때 ValueError Bin labels must be one fewer than the number of bin edges이 에러 문구가 뜹니다 bins 안에 값을 여러 번 줄여봐도 안 되어서 문의드립니다,코드2
3 IDF가 높다는 것은 적은 수의 문서에서 나타난다는 뜻이므로 그 단어가 그 문서에서 중요하다는 뜻이라고 이해하면 되나요 IDF 해석과 TFIDF 해석이 비슷하게 느껴집니다,이론
아까 rows에서 s 빼먹어서 넣고 다시 돌려봤을 때는 분명 열 전체가 다 나왔었거든요 그러다가 밑에 부분 셀 실행하면서 중간에 dfhead 같이 df를 조회 몇 번 했더니 다시 열이 생략되어 보이더라고요 그래서 다시 처음 부분으로 올라가서 다시 이 부분 실행을 했는데 파일을 껐다 켜도 계속으로 생략되어 보입니다 원래는 처음에 데이터 열 때 옵션을 주면 계속 적용되는 거 아닌가요 왜 이런 오류가 자꾸 뜨는 걸까요 혹시 중간에 dfdrop으로 원본 df에 변경을 가해서 그러는 걸까요,웹
안녕하세요 코딩 마스터스 재밌게 하고 있는 에이 블루입니다 코딩 마스터스가 벌써 다음 주면 끝나는데 기간을 늘려주실 계획은 없으신지 궁금합니다 기간 동안 두 번의 미니 프로젝트 등으로 꾸준히 참여하지 못한 것이 아쉽고 코딩 역량을 기르는데도 많은 도움이 되어 조금 더 오래  진행하면 좋을 것 같다고 생각합니다 감사합니다,시스템 운영
모델을 불러내고 예측값을 뽑아내는 과정에서 옵티마이저가 정의 안됐다고 오류가 뜨는데 어느 부분에서 잘못된 지 모르겠습니다    모델 생성할 때 optimizeradam 이 방법으로 설정해 주었는데 이렇게 선언하면 안 되는 걸까요  ,코드2
이러한 에러코드가 나오는데 어디서 잘못된 건지 알 수 있을까요 blogPosttag fieldsE336 The model is used as an intermediate model by blogPosttag but it does not have a foreign key to Post or Tag,웹
금요일에 홈페이지 점검이 있다는 내용을 들었었는데 금일 접속해 보니 다른 곳은 다 접속이 되지만 코딩 마스터스 서버만 접속이 되지 않아 문의합니다,시스템 운영
말씀하신 대로 하였으나 이번에는 이런 오류가 발생합니다 cannot import name NPLT123 from statsmodelscompatnumpy cUsersUseranaconda3libsitepackagesstatsmodelscompatnumpypy 혹시 가능하시면 원격제어될까요,원격
운영자 02님 혹시 원격 기다리실까 봐 문의 글 남깁니다 어차피 오전 시간 얼마 안 남았고 지금 실습시간이니 오후에 다시 재부팅하고 동일 증상 나타나면 다시 문의하겠습니다 감사합니다,시스템 운영
강사님 화면이랑 그대로 타이핑했고 강사님이 채팅창에 입력하신 코드 그대로 북사 붙여넣기 했는데도 오류 값이 나오네요 오류코드는 KeyError                                  Traceback most recent call last in      18     jsonobject  jsonloadsjsonstr     19 gt 20     result  jsonobjectrentBikeStatusrow     21      22     if lenresult  1000  0 KeyError rentBikeStatus입니다,코드2
문제 1번에서 pltplotapart2구군 apart2증가액 plttitle 매매가 증가액 pltshow 이런 식으로 차트를 끌고 왔는데 에러가 뜹니다 데이터 프레임을 apart2로 다시 선언한 뒤에 진행해야 될까요,코드2
실습 4쿠팡의 경우 유통업이지만 오픈마켓으로도 분류할 수가 있는데 제가 작성한 것과 같이 유통업으로 아예 분류해서 작성해도 되는지 문의드리고 해당 과제를 공식적인 데이터에 기반해서 작성한 것이 아니고 모두 제가 직접 느끼고 겪어봤기 때문에 경험을 토대로 세분화를 했는데 이렇게 해도 되는지도 문의드립니다 감사합니다,이론
Gridsearch라고 했는데 자꾸 실패하네요 그리드 서치가 아니면 죄송합니다,코드2
도메인 관련 논문 검색 후 유의미한 feature 1차로 추려내서 데이터 전처리하는데 혹시 수업 의도와 다른 방법일까요,이론
isin 값 1 값 2 값 n 값 1 또는 값 2 또는 값 n인 데이터만 조회합니다 값 나열 day가 sat 또는 suntiploctipdayisinsatsunisin을 이런 식으로 작성하면 안 되나요 어떤 점이 틀렸는지 자세히 알고 싶어 문의 남깁니다 감사합니다 TypeError                                 Traceback most recent call last in       1  값 나열 day가 sat 또는 sungt 2 tiploctipdayisinsatsunTypeError isin takes 2 positional arguments but 3 were given,코드2
안녕하세요 python managepy runserver 해 당 명령어 수행 시에 위와 같이 발생합니다 어떻게 하면 될까요,웹
from bs4 import BeautifulSoupsoup  BeautifulSoupdfhtmlcode0 htmlparser 이 부분 다시 한번 설명 들을 수 있을까요,웹
클라우드 9 문의 Failed to create environments d023125connectiontestCloud9 could not connect to the EC2 instance Please check your VPC configuration and network settings Go to CloudFormation stack 환경 세팅 완료하고 클라우드 열려고 하니 에러가 났습니다 이전 과정을 다시 확인했지만 스스로 오류 찾기는 힘들어 문의드립니다 ,웹
기능을 따라 했는데 헤드 부분은 출력 안되고 보디 부분은 출력이 되는데 이거 어떻게 해결하나요,웹
안녕하세요 DX7조입니다 제출 버튼에 ppt 파일을 먼저 제출하고 나서 발표 영상을 후에 제출하는 바람에 ppt 파일이 덮어씌워져서 발표 영상만 업로드된 것 같습니다 혹시 PPT 파일을 여기에 첨부해도 괜찮을까요 일단 파일을 첨부해서 업로드하겠습니다 답변 주시면 감사하겠습니다,시스템 운영
model 생성까지는 되었으나 학습을 진행하면 이런 식으로 에러코드가 발생하는데 어디가 원인인지 알 수 있을까요,코드2
안녕하세요 갑자기 셀프 테스트를 보는 도중 창이 다 꺼지고 홈으로 돌아갔는데  이 경우에는 어떻게 해야 하는지 여쭤봐도 될까요 위 경우 그동안 푼 문제들은 어떻게 되는 건지 문의드리고 싶습니다 ,시스템 운영
전처리 부분에서 시간 관련 열을 지웠는데도 모델링에서 could not convert string to float 20220501 이런 오류가 나서 shift 기준일 ID 열 형식을 str로도 변경해 보았는데 해결이 안 되는데 어떻게 해야 하나요,코드2
변수와 타깃 간 가설 수립을 할 때 변수 간 관계를 이용해 변수를 추가해서 사용해도 될까요 ex 미세먼지 총량  초미세먼지  미세먼지 ,이론
이동인구  추정 합산 값으로 소수점 표출 개인정보 비식 별호를 위해 3명 미만의 경우  처리 이동인구가 소수점으로 나오는 이유가 무엇인가요,이론
AIDU 환경에서 한번 나오면 시험 끝이라는 강사님 말씀을 듣고 질문을 남깁니다 AICE 수험 시 네트워크 불안정으로 접속이 잠시 끊겼더라도 완전히 시험은 끝이고 재접속 방법이 아예 없을까요 시험 당일에는 유의해서 준비는 하겠지만 며칠 전부터 네트워크가 불안정해 강의도 몇 번씩 끊긴 적이 있어 정말 궁금합니다 또 AICE 응시 관련 메일이 왔는데 사전 체크 목록에 시험 신청 현황 확인 gt 비회원 시험 신청 현황에서 확인하라고 되어있는데 비회원 시험 신청 현황 탭을 찾을 수가 없어 문의드립니다 마이페이지에서의 시험 신청 현황에서는 내역이 없었습니다,시스템 운영
인스턴스 유형을 t2micro t3micro로 둘 다 진행해 보았지만 둘 다 동일한 증상이 나옵니다 어떻게 해야 할까요,웹
orders1  pdmergeorders customers onProductID howinner라고 썼더니 ProductID가 없다고 하는데 왜 이런 건가요 customers 칼럼	CustomerID	RegisterDate	Address	Gender	BirthYear	Addr1	Addr2order 칼럼  	CustomerID	ProductID	OrderID	Seq	OrderDate	Qty	Amt,코드2
안녕하세요 답변에 감사드립니다 3389 커트라인 정하기 추가 문의드립니다 이전에 첨부했던 코드는 코딩 마스터스 창에서 바로 복사해서 붙여넣기 했는데 어찌 된 영문인지 lt가 사라져 있었습니다 지금 추가 문의를 위해 코드를 썼는데도 부등호가 제대로 출력되지 않아 부득이하게 사진으로 첨부합니다 감사합니다,코드1
model 모듈에서 class를 만들잖아요 create tabel이 맞나요 이 class가 sql에서의 하나의 테이블이 맞을까요 그 테이블 설정에 대해서 class 문안에 작업을 하는 건가요,웹
어떻게 삭제하는지 모르겠어요  원격 지원 부탁드려도 될까요 ,원격
예를 들어서 만약에 결측치가 age에서는 50개인데 embarked는 80개면 결측치 처리는 어떻게 해야 되나요 age에는 결측치 X인데 embarked는 결측치 O인 데이터들은 어떻게 처리되나 궁금합니다,코드2
2100x2  100x3 100x4 필터를 각각 만든다는 의미인 것 같은데 이 컨볼루션 계층들은 직렬로 연결되나요 아니면 병렬로 연결되나요 예를 들어 데이터 gt 100x2 gt 100x3 gt 100x4 gt 결과인가요 데이터 gt 100x2gt 결과 1            gt 100x3 gt 결과 2             gt 100x4 gt 결과 3  인가요 모델의 전체적인 구조를 알고 싶습니다,이론
다중회귀 모델에서 회귀계수와 절편을 구해서 y 값을 계산할 때 y  절편의 합  회귀계수 1x1  회귀계수 2  x2가 맞나요,이론
soup  BeautifulSouprowhtmlcode htmlparser 코드에 있는 rowhtmlcode는 이미지에 있는 이 부분을 의미하는 건가요 ,웹
실습 문제 5 데이터 형태 변경하기 dftotal dftest의 index를 리셋하고 기준일 ID에 todatetime 함수를 사용하여 데이터 형태를 변경하세요 여기서 기준일 ID에 적용할 데이터를 무엇으로 선정해야 하는지 모르겠습니다 무엇으로 해야 하나요,코드2
가치 제안을 위한 필요사항,이론
최종 개별 실습 파일 제출 시에 제가 다른 경로로 저장한 빈 파일을 올려서 소스코드가 하나도 작성되지 않은 파일이 최종 제출이 되었습니다 혹시 최종 제출한 파일을 수정할 수 있을까요 제출된 파일은 공백인 파일입니다 감사합니다,시스템 운영
1 혹시 더미 변수 생성 파트가 이상 없이 잘 진행되셨나요 오류 없이 잘 진행했습니다 그래서 scaling 진행을 했는데 오류가 나서 뭐가 문제인지 모르겠네요 describe 한 결과도 첨부 드립니다,코드2
마지막으로 안내해 주신 명령어대로 수행해 봤는데 역시 에러 메시지가 뜹니다 혹시 원격으로 조정이 가능할까요 몇 시쯤 들어가면 좋을까요 수업 시간 제외하고도 가능할까요 번거롭게 해드려 죄송합니다,원격
52 54 55번은 모두 3360번 문제입니다 추가로 반복문 안에 조건문이 효과적이지 않다면 어떻게 짜야 효과적인 코드가 될까요,코드1
위에 covid19info를 보면 createDt의 형태가 object인데요 20220731 085755679 이러한 형태를 분할하고자 split로 하자니 뒤에 시간이 걸리는 문제가 있었습니다 이걸 각각으로 나누어서 year month day time 등으로 나누어 보고 싶은데 어떻게 해야 할지 몰라서 질문을 드립니다 제 실력이 많이 부족하기에 여러 가지 방법이나 노하우를 가르쳐 주시면 잘 습득하겠습니다 감사합니다 ,코드2
protocol이 무엇을 말하는지 잘 이해가 안 됩니다 감사합니다,이론
,코드2
mysql user masteradmin password host d021102rdscmiitvahjix2useast2rdsamazonawscom를 입력하였더니 명령장에서 bash mysql command not found 오류가 발생합니다 어디 가 잘못된 건가요,웹
채점했을 때는 전부 pass로 뜨는데 제출하면 오답이라고 하는데 제출할 때 다른 케이스들도 더 채점을 하나요,시스템 운영
실습 3에 shift 와 roll 중에 어느 것을 먼저 진행하는 것이 좋은가요,이론
안녕하세요 3417 오리 농법 예제 입력 1의 예제 출력 1에 대해 질문드립니다 예제 출력의 답이 6이 아니라 2인 이유가 궁금합니다,코드1
인터프리터 변경 후 라이브러리 다시 설치했는데 vscode에는 오류가 안 뜨는데 서버 구동 시 서버에서 오류가 발생합니다,웹
 안녕하세요 강사님 batch normalization과 dropout에 관해 질문이 있습니다 질문 1 batch normalization을 통해 이전 layer의 출력값의 분포가 치우쳐지는 문제점을 개선해 학습에 도움을 준다고 하셨습니다  그렇다면 출력값을 내는 모든 layer에  batch normalization을 하면 출력값의 분포가 계속 안정되어 학습에 좋은 영향을 줄 수 있을 같은데 강사님께서 쓰신 코드를 보면 convolution pooling dense layer 모두에 batch normalization을 적용하지 않고 몇몇 레이어에만 적용하시던데 혹시 그 이유가 있는지 궁금합니다,코드2
지금 현재 문자열에서 float으로 변환하는 것은 불가능으로 보입니다  총 생활 인구수를 예측하기 위한 칼럼 예측하기 위해서 만든 shift를 이용한 칼럼을 제외한 날짜 시간 칼럼은 지워도 되는 것으로 보입니다 shift 열이 현재 int64ns 형식인데 얘도 지우고 기준일 ID도 다 지우라는 말씀이시죠,이론
해당 변수가 엄밀히 말하면 범주형인 거 같긴 한데 range가 거의 2524개 나 되어서 더미 처리하기에는 너무 열이 많이 나오네요 혹시 반올림해서 더미 처리하는 게 나을까요 아니면 수치형으로 반영하는 게 좋을까요,이론
함수 sayhey를 만들어 보세요 횟수를 받는 입력 매개변수 count 숫자입력받은 count 만큼 Hey를 출력 count에 값을 지정하여 함수의 결과를 확인하세요    sayhey5        Hey Hey Hey Hey Hey 출력물이 옆으로 Hey Hey 어가 아닌 아래로 나오는데 옆으로 하는 방법은 없을까요,코드1
11월 10일 개인과제 제출 버튼을 누르면 아래와 같은 화면이 뜨면서 과제 제출이 진행되지 않습니다,시스템 운영
시장 형성 부분을 어떻게 적어야 할지 잘 모르겠습니다 피드백 부탁드립니다,이론
w intinput 수도 사용량 b input 회사명 def waterpaywb    uw  w    companyA  A    companyB  B    if bcompanyA        uw  w150        return print 사용량 uw    if bcompanyB        if uwlt50            uw uw150        else            uw uw75        return print 사용량 uw        printwaterpaywb 값 자체는 정상적으로 출력되나 마지막에 none이 출력되는데 원인을 알 수 있을까요,코드1
params   maxdepthrange111 minsamplesleafrange1010110nneighbors  range3312 metric  euclidean manhattan  mDecisionTreeClassifiermgsGridSearchCVmparamscv5verbose3아레 내용 실행 시 에러 발생 mgsfitxtrainytrain 위와 같이 진행시 첨부파일처럼 에러가 발생합니다 어떤 부분을 수정하면 될까요,코드2
파이썬을 이번에 처음 배우게 되었습니다 코딩 마스터스 테스트에서 from sys import stdininput  stdinreadline 같은 구문을 앞에 적는 이유는 무엇인 가요적 지 않고도 실행할 수 있는 구문도 있는지 아니면 필수적인 구문인지 궁금합니다 이런 내용을 알려면 어떤 책이나 자료를 참고해야 하는지도 궁금합니다 감사합니다,코드1
제주관광공사를 대상으로 관광지 순환 버스 설루션을 도입하여 운전을 못하는 관광객 유치 렌트 비용이 부담스러운 관광객 유치를 통해 제주 관광 산업을 부흥하고 이를 통해 제주 주민 복리 증진이 목표입니다 그러나 이를 통해 렌트를 하는 관광객이 줄어들면 렌터카 사업을 하시는 분들도 제주 주민의 일부인데 손해를 끼치게 됩니다 이렇게 이해관계가 충돌하는 조직과의 문제 해결 방안에는 어떤 것들이 있나요,이론
프라이빗 클라우드와 온 프레미스의 차이가 궁금합니다,웹
import syssysstdin  openinput11txtrN K mapintsysstdinreadlinesplitstudent  listmapintsysstdinreadlinesplittmp  res  maxi 0for i in rangeN    P  studenti    temp  0N2    for j in rangeN        if studentj gt P            tempj  1            tempj1  1            tempj2  1    tmpappendtemp11for i in rangeN    if sumtmpi  maxi        resappendi        maxi  sumtmpiprintstudentres0 if res else studenti1어제 문의드렸던 내용에서 sumtmpi  maxi 사이에 비교 연산자가 포함되어 있지 않아 재문의 드리겠습니다,코드1
객체 탐지 부분에서 detectpy를 실행하면 이미지에서 객체를 탐지하고 그 값을 이미지에 표기 후 이미지를 저장하는 데 이미지를 저장하는 것뿐만 아니라 탐지한 객체의 값을 리턴해 줄 수 있는 방법이 있나요,코드2
air21데이터 측정 일시를 datetime으로 변경하려고 합니다 pdtodatetime을 사용하니 에러가 발생해서 아래와 같이 str으로 바꿔서 변경하고 있습니다 for i in rangelenair21    air21측정이 시 istrair21측정이 시 i4strair21측정이 시 i46strair21측정이 시 i68 strair21측정이 시 i8 진행하다 보니 24시 때문에 문제가 발생해서 해결을 못하고 있는 상황입니다 pdtodatetime으로 해결할 수 있는 방법이 있을까요,코드2
,코드1
시험 준비하다 보니 문의 사항이 생겨서 질문드립니다 1 오픈 북이면 학습용으로 제공해 주신 주피터 파일 보면서 해도 되나요 2 평소 듀얼 모니터는 쓰지 않고 노트북 2대를 이용합니다 듀얼 모니터가 된다는 말을 들었는데 그렇다면 옆에 노트북 켜두고 그거 보면서 시험 봐도 되는지 궁금합니다 3 캠을 켜두고 시험을 본다는 것이 팀스 같은 노트북 캔 만인가요 아니면 옆에 폰캠도 켜두고 이중 캠으로 하는 건가요 4 구글링 되나요 감사합니다,시스템 운영
둘이 어떤 부분이 다른 건가요 R2 Squared는 선형회귀 모델에 대한 적합도 측정값이고 상관계수는 히트맵에서 봤던 annot 값이라는 것 정도로만 이해하고 있습니다,이론
이전 강의 영상들 중에서 학습 가능 기한이 지난 강의는 시청할 수가 없는데 혹시 기한을 연장해 주실 수는 있는지 문의드립니다,시스템 운영
,코드1
수업 때 설명해 주신 것 같은데 놓쳤습니다 전체 평균선을 그을 때 왜 1에서 평균값을 빼주는 건가요 1에서 평균값을 뺀 것의 의미가 무엇인가요,이론
2 강사님 설명 중 docstring은 최소 3가지 정보 갖고 있다고 하셨는데  함수에 대한 정보 Paramas까지는 들었습니다 마지막 하나가 뭔가요 감사합니다,이론
validationsplit의 경우 cv와는 달리 자체 검증하는 데이터 02만 따로 떼어내어 검증한다는 것일까요,코드2
https113366comaccessCode107144링크로 접속 후 프로그램 실행한 후 따로 해야 할 일이 있을까요 홈페이지에는 여섯 자리 번호를 입력하라고 뜨는데 입력하는 란도 없고 하단에 원격 지원 준비 중만 뜨고 아무것도 뜨지 않습니다 ,원격
다 풀고 제출했었는데 결과 확인하니 하나도 풀지 않고 제출한 것으로 나온 거 같습니다 오류인지 확인 가능한가요 ,시스템 운영
,웹
안녕하세요 강의장 접속이 안되어 11 문의드립니다 채팅은 보이는데 강의 화면이 회의 시간 초과로 뜨며 보이지 않습니다 확인 부탁드리겠습니다 감사합니다,시스템 운영
12 데이터 불러오기 및 분석 EDA2차 유동인구 데이터    파일에서 seoulmoving의 분석단위를 뭐라고 할 수 있을까요 그냥 서울시의 공무원이 임의로 각 칼럼과 그에 따른 분류를 만든 뒤 이에 따라 넣어준 건가요 그리고 이때 혹시 실습 문제 5 어느 요일의 심야 이동이 가장 많을까요의  질문의 답으로 행의 개수를 카운트한 결과는 어떻게 해석해야 할까요 감사합니다,코드2
File CUsersUserstreamlit62chartpy line 96   파일 실행 File gt New gt Terminalanaconda   streamlit run streamlit62chartpy                                                                                       SyntaxError unexpected EOF while parsing,코드2
pvalue 값이 0이면 귀무가설을 기각할 수 없다고 하면 되는 건가요,이론
vscode 터미널에 python managepy makemigrationspython managepy migratepython managepy runserver 등등 이런 명령어를 넣으면 사진과 같이 오류가 쭉 나오다가    File CUsersUserAppDataRoamingPythonPython311sitepackagestensorflowpythonpywraptensorflowinternalpy line 114    def TFEContextOptionsSetAsyncarg1 async                                         SyntaxError invalid syntax 마지막엔 이런 식으로 나오는 건 어떤 식으로 고쳐야 하는지 원인이 무엇인지 알려주시면 감사하겠습니다,웹
방금 접속했다가 제가 나간 것인지 다시 들어가지지 않습니다 링크 한 번만 다시 부탁드립니다,시스템 운영
Master와 연동할 때 worker1은 이상 없이 연결이 되었으나 worker2를 연동할 때 문제가 생깁니다 터미널 종료 후 다시 진행해 봐도 똑같은 오류가 발생합니다,웹
1 본 데이터의 생활인구수는 한국인인가요 한국인 외국인인가요 2 만 나이 기준인가요 감사합니다,이론
강사님께서 rm f data 해보라고 하셨는데 rm cannot remove data Is a directory 이렇게 나옵니다 삭제가 안된다는 걸까요,웹
pdf 내용에 보면 코미디 빅 리그 관련 내용도 있던데 슈퍼맨 영상은 오늘까지만 사용하고 내일부터는 코미디 빅 리그 영상을 가지고 팀별 과제를 수행하는 건가요,시스템 운영
